validation_set,KNORAU,KNORAE,OLA,MCB,LCA,StaticSelection
all,0.7257152299121896,0.7722767758788909,0.7490196078431371,0.7630165549365813,0.6979660403487238,0.7066597425487049
hard,0.5819036603405408,0.4985766216598999,0.49855695087023566,0.47164731060963705,0.6090871179932648,0.7049578258269601
easy,0.7248701727882164,0.7431199446070563,0.7338754602964781,0.7476009504925565,0.7246026500487835,0.7094616498284707
