validation_set,KNORAU,KNORAE,OLA,MCB,LCA,StaticSelection
all,0.2743032452451196,0.22776661854246436,0.25101845458539956,0.23699391124223212,0.30217971251020026,0.2933682756889084
hard,0.4181705479881991,0.5014986504299793,0.5014248948590797,0.5283268470278075,0.39115717782938925,0.29505837674973323
easy,0.27514908040926495,0.2569016383152345,0.2661822861088444,0.2524213796999561,0.2754707802397841,0.29057968740192075
